File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::getMasterVolume() const,8,6,6,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::setBGMVolume(float volume),5,4,4,0,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::setSFXVolume(float volume),5,4,4,0,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::getBGMVolume() const,8,6,6,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::getSFXVolume() const,8,6,6,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::getSystemHandle(),5,4,4,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::getBGMChannelGroupHandle(),5,4,4,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::getSFXChannelGroupHandle(),5,4,4,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::initiate(),5,4,4,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::process(),73,54,36,8,13,0,6,22,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::pause(),5,4,4,0,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::resume(),5,4,4,0,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::terminate(),7,5,5,0,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::clear(),7,5,5,0,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::instance(),4,3,3,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::beginRender(const AudioListenerBase &audioListener_),3,3,3,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::endRender(const AudioListenerBase &audioListener_),3,3,3,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Service::initiate(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Service::process(),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Service::pause(),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Service::resume(),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Service::terminate(),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Service::clear(),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Data::Data(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Data::~Data(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Data::read(InputStream &is),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Data::write(OutputStream &os) const,1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Resource::Resource(const char *path_),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Resource::~Resource(),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Resource::onCreate(int length_),4,3,3,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Resource::onLoaded(),18,13,13,0,5,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Resource::onDestroy(),10,9,7,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::Resource::getHandle() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::ResourceImporter::ResourceImporter(const char *name),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::ResourceImporter::~ResourceImporter(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::ResourceImporter::initiate(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::ResourceImporter::terminate(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,"AudioClip::ResourceImporter::onExportFile(const char *srcFilename_, const char *dstFilename_)",5,3,3,1,1,0,1,2,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::ResourceImporter::onDeleteFile(const char *srcFilename_),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::AudioClip(Component::Owner &owner_),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::~AudioClip(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::play(bool loop),36,29,23,4,5,0,2,2,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::onConstruct(),10,7,6,3,2,0,1,3,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::onStart(),2,1,1,0,0,0,1,1,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::onUpdate(float dt),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::onPause(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::onResume(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::onStop(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::onDestruct(),16,15,11,2,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,AudioClip::onDebugRender(IComponentDebugRenderer &debugRenderer),4,4,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioComponent.cpp,AudioComponent::AudioComponent(Component::Owner &owner_),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioComponent.cpp,AudioComponent::~AudioComponent(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioComponent.cpp,AudioComponent::getBGMChannelGroupHandle(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioComponent.cpp,AudioComponent::getSFXChannelGroupHandle(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioComponent.cpp,AudioComponent::getSystemHandle(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::AudioListener(Component::Owner &owner_),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::~AudioListener(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::onConstruct(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::onStart(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::onUpdate(float dt),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::onPause(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::onResume(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::onStop(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::onDestruct(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,AudioListener::onDebugRender(IComponentDebugRenderer &debugRenderer),4,4,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListenerBase.cpp,AudioListenerBase::AudioListenerBase(Component::Owner &owner_),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListenerBase.cpp,AudioListenerBase::~AudioListenerBase(),6,6,4,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::AudioSourceBase(Component::Owner &owner_),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::~AudioSourceBase(),6,6,4,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::stop(),11,10,8,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::pause(),8,7,6,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::resume(),8,7,6,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::setMuteEnable(bool muteEnable_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::setBypassEffectsEnable(bool bypassEffectsEnable_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::setLoopEnable(bool loopEnable_),20,16,10,2,2,0,2,6,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::setPriority(int priority_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::setVolume(float volume_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::setPitch(float pitch_),19,16,12,2,3,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::set3DDopplerLevel(float dopplerLevel_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::set3DVolumeDecayMode(AudioSourceBase::DecayMode volumeDecayMode_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::set3DMinDistance(float minDistance_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::set3DPanLevel(float panLevel_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::set3DSpread(float spread_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::set3DMaxDistance(float maxDistance_),11,9,7,1,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::isPaused() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::isMuteEnabled() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::isBypassEffectsEnabled() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::isLoopEnabled() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::getPriority() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::getVolume() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::getPitch() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::get3DDopplerLevel() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::get3DVolumeDecayMode() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::get3DMinDistance() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::get3DPanLevel() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::get3DSpread() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::get3DMaxDistance() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,AudioSourceBase::getChannelHandle(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::ResourceImporter::ResourceImporter(const char *name),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::ResourceImporter::~ResourceImporter(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::ResourceImporter::initiate(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::ResourceImporter::terminate(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,"AudioStream::ResourceImporter::onExportFile(const char *srcFilename_, const char *dstFilename_)",5,3,3,1,1,0,1,2,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::ResourceImporter::onDeleteFile(const char *srcFilename_),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::AudioStream(Component::Owner &owner_),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::~AudioStream(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::play(bool loop),36,29,23,4,5,0,2,2,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::onConstruct(),30,23,18,5,5,0,2,7,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::onStart(),2,1,1,0,0,0,1,1,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::onUpdate(float dt),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::onPause(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::onResume(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::onStop(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::onDestruct(),18,17,13,2,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,AudioStream::onDebugRender(IComponentDebugRenderer &debugRenderer),4,4,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BaryCentric.cpp,"BaryCentric::BaryCentric(const Vector3 &a_, const Vector3 &b_, const Vector3 &c_)",1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BaryCentric.cpp,BaryCentric::isInside(const Vector3 &p) const,4,3,3,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BaryCentric.cpp,BaryCentric::getBaryCentricPoint(const Vector3 &p) const,18,14,14,1,4,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BaryCentric.cpp,BaryCentric::getPoint(const Vector2 &uv) const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BasicScene.cpp,BasicScene::BasicScene(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BasicScene.cpp,BasicScene::~BasicScene(),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BasicScene.cpp,BasicScene::update(float dt),6,4,4,0,2,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BezierCurve2.cpp,"BezierCurve2::BezierCurve2(int iDegree, Vector2* akCtrlPoint)",101,82,59,10,12,0,7,35,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BezierCurve2.cpp,BezierCurve2::~BezierCurve2(),14,13,13,0,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BezierCurve2.cpp,BezierCurve2::GetDegree() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BezierCurve2.cpp,BezierCurve2::GetControlPoints() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BezierCurve2.cpp,BezierCurve2::GetPosition(float fTime) const,15,12,10,2,3,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BezierCurve2.cpp,BezierCurve2::GetFirstDerivative(float fTime) const,17,14,12,2,3,0,0,0,
